epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.473,1.40638,2.6148,1.9157,0.95483,0.23631,0.39638,0.18273,1.88645,3.4813,3.67602,0.000475424,0.000475424,0.000475424
2,275.799,1.39628,2.2835,1.91154,0.56566,0.49036,0.46181,0.22176,1.56999,4.86344,2.71005,0.000904646,0.000904646,0.000904646
3,402.636,1.33203,2.00493,1.84866,0.66154,0.47466,0.6242,0.4,1.36319,2.34821,2.29005,0.00128671,0.00128671,0.00128671
4,537.726,1.35474,1.9492,1.86119,0.61648,0.25078,0.56364,0.28814,1.48354,2.57277,2.41389,0.00121679,0.00121679,0.00121679
5,674.427,1.27242,1.78922,1.77054,0.53743,0.61481,0.59374,0.3202,1.67558,3.95537,2.96528,0.00114606,0.00114606,0.00114606
6,811.634,1.30881,1.63645,1.80851,0.62031,0.60321,0.6158,0.31105,1.69946,2.68803,2.70982,0.00107532,0.00107532,0.00107532
7,948.746,1.2724,1.51838,1.77186,0.37676,0.74815,0.64069,0.36647,1.49375,2.00608,2.30819,0.00100459,0.00100459,0.00100459
8,1085.14,1.207,1.48954,1.72075,0.50669,0.63704,0.61183,0.37486,1.34946,1.56922,2.2012,0.000933851,0.000933851,0.000933851
9,1222.89,1.21725,1.44366,1.73447,0.54612,0.72593,0.67097,0.40549,1.43759,2.01035,2.34594,0.000863116,0.000863116,0.000863116
10,1360.49,1.16808,1.3739,1.66113,0.52081,0.86667,0.64936,0.38981,1.40722,1.68365,2.32187,0.00079238,0.00079238,0.00079238
11,1494.87,1.08335,1.29496,1.78401,0.54984,0.60652,0.6092,0.35306,1.35529,1.52581,2.05833,0.000721645,0.000721645,0.000721645
12,1629.33,0.9933,1.10941,1.69835,0.58295,0.74074,0.69238,0.42156,1.47278,1.27473,2.28523,0.000650909,0.000650909,0.000650909
13,1764.6,1.00547,1.02378,1.69798,0.53481,0.62312,0.57942,0.34146,1.43822,1.17087,2.24707,0.000580174,0.000580174,0.000580174
14,1901.95,0.8995,0.90672,1.60587,0.53294,0.60431,0.52713,0.3563,1.37171,1.35356,2.1141,0.000509438,0.000509438,0.000509438
15,2037.59,0.90548,0.8614,1.58761,0.51852,0.84935,0.66388,0.39045,1.4242,1.17254,2.21992,0.000438703,0.000438703,0.000438703
16,2173.81,0.86213,0.83933,1.54955,0.62854,0.62693,0.64862,0.39944,1.46076,1.15367,2.29249,0.000367967,0.000367967,0.000367967
17,2310.4,0.83821,0.7795,1.53252,0.58211,0.62963,0.57428,0.37337,1.41148,1.11787,2.23575,0.000297232,0.000297232,0.000297232
18,2447.61,0.8099,0.73826,1.52186,0.60406,0.61438,0.59766,0.36705,1.55326,1.19734,2.35959,0.000226497,0.000226497,0.000226497
19,2584.58,0.7915,0.71606,1.4817,0.52742,0.61481,0.58613,0.34617,1.60896,1.19904,2.44604,0.000155761,0.000155761,0.000155761
20,2721.7,0.74136,0.68925,1.44757,0.50231,0.61481,0.57176,0.31978,1.669,1.28256,2.58685,8.50255e-05,8.50255e-05,8.50255e-05
